typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","-1","N/A",,"false","8056","false",,"false",,"91426","91426","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","579","NOR","Norway","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","-1","N/A",,"false","892","false",,"false",,"1505692","1505692","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","702","SGP","Singapore","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","-1","N/A",,"false","2153","false",,"false",,"2952786","2952786","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","757","CHE","Switzerland","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","-1","N/A",,"false","1242","false",,"false",,"3151453","3151453","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","29","false","-1","N/A",,"false","5336","false",,"false",,"1354036","1354036","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","308","false","-1","N/A",,"false","99420","false",,"false",,"34989896","34989896","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","13340","false","0","false","2559280.843",,"2559280.843","2","false","true",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","915","false","0","false","152200.215",,"152200.215","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","348","false","0","false","4030.834",,"4030.834","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","5226","false","0","false","1012070.362",,"1012070.362","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","94","false","0","false","16557.918",,"16557.918","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","23","false","0","false","3755.733",,"3755.733","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","579","NOR","Norway","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","10","false","0","false","2362.949",,"2362.949","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","380","false","0","false","64529.234",,"64529.234","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","757","CHE","Switzerland","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","412","false","0","false","4678.054",,"4678.054","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","22","false","0","false","1406.074",,"1406.074","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","804","UKR","Ukraine","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","107","false","0","false","210053.919",,"210053.919","2","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","842","USA","USA","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","5803","false","0","false","1087635.55",,"1087635.55","2","true","false",
"C","A","20140101","2014","52","2014","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5","false","-1","N/A",,"false",,"false",,"false","75932",,"75932","0","true","false",
"C","A","20140101","2014","52","2014","44","BHS","Bahamas","M","Import","842","USA","USA","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5","false","-1","N/A",,"false",,"false",,"false","75932",,"75932","0","true","false",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","-1","N/A",,"false","4543","false",,"false","8550122",,"8550122","0","true","false",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","251","FRA","France","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","4500","false",,"false","8539823",,"8539823","0","true","false",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","17","false",,"false","7624",,"7624","0","true","false",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","842","USA","USA","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","26","false",,"false","2675",,"2675","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","30.53","false","5","u","30.53","false","3287.991","true","0","false","1191714.373","0","1191714.373","4","false","true",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false","176","false","0","false","7229.627","0","7229.627","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","208","DNK","Denmark","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5.28","false","5","u","5.28","false","18.965","true","0","false","6873.871","0","6873.871","4","true","false",
